sequence_length	hydrophobicity_full	density	radius_of_gyration	sphericity	surface_area_to_volume_ratio	euler_characteristic	inradius	circumradius	hydrodynamic_radius	disorder_content
170	[ -2.53         1.38       -23.11        -0.13594118]	0.321730776014301	32.7115325782557	0.724139681593359	0.147733980858622	-172	17.346342	80.261475	28.0426148655928	0.217647058823529
170	[ -2.53         1.38       -23.11        -0.13594118]	0.321730776014301	32.7115325782557	0.724139681593359	0.147733980858622	-172	17.346342	80.261475	28.0426148655928	0.217647058823529
170	[ -2.53         1.38       -23.11        -0.13594118]	0.321730776014301	32.7115325782557	0.724139681593359	0.147733980858622	-172	17.346342	80.261475	28.0426148655928	0.217647058823529
170	[ -2.53         1.38       -23.11        -0.13594118]	0.321730776014301	32.7115325782557	0.724139681593359	0.147733980858622	-172	17.346342	80.261475	28.0426148655928	0.217647058823529
318	[ -2.53         1.38       -23.83        -0.07493711]	0.391122525096817	27.3870668424118	0.801392392512075	0.11613405005839	-184	23.9459	69.83461	32.2341681736218	0.135220125786164
318	[ -2.53         1.38       -23.83        -0.07493711]	0.391122525096817	27.3870668424118	0.801392392512075	0.11613405005839	-184	23.9459	69.83461	32.2341681736218	0.135220125786164
318	[ -2.53         1.38       -23.83        -0.07493711]	0.391122525096817	27.3870668424118	0.801392392512075	0.11613405005839	-184	23.9459	69.83461	32.2341681736218	0.135220125786164
318	[ -2.53         1.38       -23.83        -0.07493711]	0.391122525096817	27.3870668424118	0.801392392512075	0.11613405005839	-184	23.9459	69.83461	32.2341681736218	0.135220125786164
295	[-2.53        1.38       -3.29       -0.01115254]	0.913658449647255	18.5230904601955	0.91557524411346	0.136604153526064	-217	17.997248	43.099392	23.9863026292639	0.203389830508475
295	[-2.53        1.38       -3.29       -0.01115254]	0.913658449647255	18.5230904601955	0.91557524411346	0.136604153526064	-217	17.997248	43.099392	23.9863026292639	0.203389830508475
295	[-2.53        1.38       -3.29       -0.01115254]	0.913658449647255	18.5230904601955	0.91557524411346	0.136604153526064	-217	17.997248	43.099392	23.9863026292639	0.203389830508475
1480	[-2.53000000e+00  1.38000000e+00  1.19940000e+02  8.10405405e-02]	0.323603446852152	41.516973781882	0.890986879855402	0.0584631650543861	-235	46.70772	94.489334	57.5927243139621	0.125
1480	[-2.53000000e+00  1.38000000e+00  1.19940000e+02  8.10405405e-02]	0.323603446852152	41.516973781882	0.890986879855402	0.0584631650543861	-235	46.70772	94.489334	57.5927243139621	0.125
1480	[-2.53000000e+00  1.38000000e+00  1.19940000e+02  8.10405405e-02]	0.323603446852152	41.516973781882	0.890986879855402	0.0584631650543861	-235	46.70772	94.489334	57.5927243139621	0.125
1480	[-2.53000000e+00  1.38000000e+00  1.19940000e+02  8.10405405e-02]	0.323603446852152	41.516973781882	0.890986879855402	0.0584631650543861	-235	46.70772	94.489334	57.5927243139621	0.125
1480	[-2.53000000e+00  1.38000000e+00  1.19940000e+02  8.10405405e-02]	0.323603446852152	41.516973781882	0.890986879855402	0.0584631650543861	-235	46.70772	94.489334	57.5927243139621	0.125
165	[-2.53        1.38        6.65        0.04030303]	0.340438343155853	25.4061429421243	0.800152676381903	0.140055915527775	-133	19.562307	59.036274	26.7699115163238	0.206060606060606
