sequence_length	density	radius_of_gyration	sphericity	surface_area_to_volume_ratio	euler_characteristic	inradius	circumradius	hydrodynamic_radius	Predicted_Disorder_Content_DT	Predicted_Disorder_Content_RF	Predicted_Disorder_Content_GB
1200	0.6153903824933028	24.60823898365694	0.883267795923369	0.1120293021098728	-208	25.22678	57.848236	30.31776818252037	0.05419652906538829	0.10976305191977767	0.04327148323594959
597	0.4057938581724817	29.382733229633303	0.7698742972099691	0.1427335749504744	-196	21.60155	69.368355	27.30079479712696	0.479166666666667	0.18356011699883107	0.1897468726501037
936	0.2908242437620631	33.97593835205911	0.8283716533744487	0.1022580966642469	-160	23.122458	85.9087	35.4159031027552	0.0341463414634146	0.15394130199687034	0.15233849982271946
612	0.1317641040909815	39.908301568301766	0.8576959437282256	0.0879813494358505	-211	41.619915	58.201042	39.755505478085865	0.5920792079207926	0.5283274318035034	0.4368897438844169
447	0.6770962031494634	21.52598532659505	0.8683095066453209	0.1649354234153006	-184	17.138992	38.880795	20.94752701170637	0.15587363550928948	0.13659778338093992	0.115503682018643
1404	0.4483799060578043	28.13317560989384	0.8062902924011993	0.1047906488114066	-196	20.999487	90.500435	35.506453393503655	0.09199790065405661	0.0965174695542206	0.09462863071384267
1800	0.1131467662474889	44.85659977739955	0.9045214375227556	0.0558797301261256	-253	52.535606	98.31184	59.35374007028739	0.03806594448774644	0.1991504849686974	0.1869633659524236
1836	0.7259943060919233	25.12724009809644	0.9270437392376728	0.0992361348068047	-220	27.863234	47.10024	32.61002930355194	0.0824053452115813	0.08339171893440203	0.0730489166990856
5976	0.1785789668661869	49.6449441850838	0.9445972617968472	0.0412969430712845	-337	66.009735	97.436165	76.9053702587963	0.052941453060644156	0.1601089826190954	0.10302386023598964
4425	0.0983252916117171	64.57483620775022	0.95977599457605	0.0375238560449169	-409	74.34925	103.0096	83.29979069230028	0.0052910052910052	0.30847172063986544	0.2813490219502309
1467	0.3587498352500141	29.043208638379483	0.8797212734509615	0.0892784066065705	-217	31.017056	63.18858	38.197041796086005	0.026131135920706604	0.10273253636125794	0.11253202404030396
462	0.5211936800575271	27.452928680971784	0.7722680847731184	0.1686675292986977	-190	12.767455	60.565666	23.03147138675698	0.1513495619644463	0.13012116771238375	0.10884552703995488
1920	0.4061265207130167	30.79936988302512	0.9020510900889256	0.082886561014781	-244	31.518637	61.955788	40.12416410968836	0.026131135920706604	0.07684769464068501	0.12710045535624764
7647	0.3731092920428884	50.85288207005832	0.885385584142205	0.0514875862597425	-283	41.31377	109.56209	65.80914912371637	0.375441349548843	0.3607200614400929	0.352401704247281
1692	0.0965603196165619	74.97607782470833	0.749028839066289	0.0654486828001551	-211	36.56159	151.38734	61.19582654971184	0.0052910052910052	0.20129584455540928	0.3122969227814591
1209	0.4254663147910402	26.373270850927472	0.8958505554080071	0.0980628536230373	-166	24.261787	53.66289	34.149249248020055	0.193548387096774	0.1165211739873781	0.05434939069463005
3984	0.1869792935930804	48.20986109154997	0.8958491206175798	0.0504360461291017	-250	46.963013	110.52201	66.3965249211281	0.03815115405305867	0.15524919185786917	0.16793689574245588
3669	0.4887716574875927	35.85886209844134	0.8647665098728504	0.0738921714595206	-205	41.314934	77.9731	46.94874237499455	0.030378723912986495	0.0652481333316996	0.056011743351717574
1389	0.1423942131404309	44.55897237788236	0.8977851859415704	0.0660874522294342	-226	44.74842	73.80756	50.56264801071256	0.420096852300242	0.4296600729838135	0.4361379519561322
3258	0.4326252269242268	40.48605563446306	0.8670784204365466	0.0753628229250749	-280	35.06075	71.411865	45.90983364942011	0.030378723912986495	0.059891180610106856	0.03188602534361379
384	0.3557907875384859	27.68780548451501	0.7205954535108352	0.1714065235598963	-97	16.863985	66.484955	24.28859483384483	0.14318570271881165	0.3370495535054963	0.29985568371433524
1785	0.3063996349990587	32.187025024470884	0.8992958610061353	0.0773421148912228	-220	35.805973	63.422993	43.13229994033254	0.046357515518489906	0.058098898795560544	0.012156044315988164
3537	0.2570552992715803	55.40310018473577	0.7778963881939264	0.0674832109603495	-274	51.010757	131.25111	57.14835854887658	0.0346666666666667	0.1367815812110675	0.046138765547308475
1449	0.2353225265496498	30.765101846593	0.823353686191751	0.084624031877706	-250	33.534924	73.02233	43.05673630293796	0.5920792079207926	0.3844050243018027	0.3875681322867148
582	0.42037776257459	27.457698684338272	0.7588154209699356	0.1494322259939625	-145	17.869104	82.66868	26.45701482005715	0.09199790065405661	0.11994211952358287	0.10393950918209341
4365	0.3150474910858708	53.591018204975526	0.827262311528768	0.0630498301762234	-229	37.798527	114.927475	57.51671772190033	0.026224997895192597	0.09666941545756158	0.06895845256226565
1494	0.3590979815221451	29.75776082225348	0.8542977503001578	0.0904905734711827	-211	25.191887	61.962677	38.8068731941732	0.05419652906538829	0.10274328197502182	0.11845888261084421
324	0.9066527877745104	19.754809594567096	0.7933179990325108	0.2181378862074754	-163	11.159663	41.73305	17.335758427256884	0.15587363550928948	0.14015612558778742	0.11351597583030561
1476	0.1521436850866565	43.267595555368416	0.8802058611472605	0.0658354373689892	-235	42.414745	87.440025	51.76989373104757	0.7257731958762891	0.3125118528850799	0.19788655023408996
3402	0.4198759696566083	35.9747708559753	0.8818782712742539	0.0713264322343214	-247	34.933918	70.94952	47.69382035920276	0.030378723912986495	0.031185801563620708	0.02410947373274064
2997	0.1887943722181449	43.57188006216387	0.9147007597633426	0.0545699734827694	-235	41.6082	91.98408	60.10193744770277	0.3651094759290725	0.18034608637666485	0.22989721993825962
378	0.2527547842960739	30.77979895600959	0.7547094641318287	0.1459840686018302	-118	21.542114	66.612404	27.22926980708337	0.15017064846416403	0.23057205635059533	0.19868925372698082
495	0.2273293509553509	31.16882839554825	0.826589448357379	0.1160186711921624	-175	25.868593	63.62588	31.28264819448037	0.06663113006396586	0.24183868411402207	0.2526282873745187
1728	0.399698467720111	32.61118979199104	0.8898732870242008	0.0863586895726637	-193	27.811785	60.453804	39.03795338571354	0.12573673870334	0.08652198842722429	0.07272293257132642
846	1.0377331329949997	17.56491037933686	0.926951746897726	0.1446881670302599	-187	18.801233	30.918457	22.368203883564227	0.0869565217391304	0.1459377173944119	0.15502654483312556
7830	0.3309365427107502	49.73963629086034	0.9394369404645588	0.0465680268369817	-283	56.560863	89.11808	68.57499501160972	0.117003367003367	0.2581570532940997	0.185168268389142
543	0.166596796997664	40.77481442719998	0.7994621271951271	0.1050387453232221	-178	26.388897	87.17015	35.72513136486238	0.5920792079207926	0.2842662081042019	0.2584403984801356
1683	0.1064852614145567	46.74012720746922	0.9197497089743664	0.0549485706748571	-256	50.237556	88.245476	59.36017814389321	0.025	0.24426903989364	0.21787763026514417
3891	0.3346888915866521	41.99355767859274	0.9303974059251636	0.0596551212159349	-274	45.890602	74.675156	54.0511615578015	0.155802861685215	0.07868441706193832	0.11175877025506104
546	0.1673480696116077	35.616950303534374	0.8473748700162473	0.0992170012657957	-166	28.510622	62.50153	35.682853558989976	0.5920792079207926	0.3490663259630401	0.3675199618917882
4305	0.3289480302928963	61.90305942897241	0.8303735445799656	0.0639485855298431	-259	43.197536	112.23353	56.495883888672736	0.026224997895192597	0.09056094449286241	0.05462638077634173
2859	0.1058993469384078	57.84391398185797	0.9192445606960732	0.0452668938228307	-298	58.55026	106.840385	72.09572132844494	0.03806594448774644	0.1327309838126749	0.07641533923921258
1575	0.4778820737600237	28.782854036487933	0.90168091230653	0.0926483813594694	-220	26.764706	63.241264	35.91125164989167	0.05419652906538829	0.09047373669755866	0.0765314220903597
3000	0.2074717797654137	41.21274205181969	0.9172599726671252	0.0561690456487155	-295	47.758327	87.05715	58.2279858161509	0.24867047901419645	0.1628885553687497	0.09509430059489452
3942	0.4161145407026957	40.60137486653723	0.8690607628114472	0.0678963805073588	-241	29.67962	105.63351	50.842218090208256	0.030378723912986495	0.046172402671468056	0.04193892582528094
1293	0.2832764875747554	32.099709797420914	0.8669837581614372	0.0864959253783681	-226	32.256653	63.196537	40.00503399334675	0.026131135920706604	0.12952877481575914	0.12822501043425913
402	0.2336146031392291	30.73084827964065	0.792433046291636	0.1324462429444493	-181	19.309908	54.182724	28.583738698499754	0.15017064846416403	0.249682664756331	0.19425453789622973
390	0.3528626043292405	28.609158372797587	0.7135752544484033	0.1718622098331713	-103	14.572677	71.46239	24.46251370321376	0.197619047619048	0.3314040927279002	0.2954531343135458
375	0.2708445555558563	30.82148119666155	0.7460233989327205	0.1518058304539538	-121	18.019445	58.91005	26.489902113365456	0.520775623268698	0.2788358587703935	0.2543514658938048
1077	0.1516631626934661	38.38198510463114	0.8418441248980424	0.0773352014274776	-238	34.32184	80.05057	46.07998704544283	0.643939393939394	0.3720345204334482	0.2548102596533443
609	0.4918900424444285	21.826446587660865	0.8302986216219795	0.1404147363403414	-175	16.39146	55.536808	25.732041843882087	0.09199790065405661	0.09134892154829678	0.09665459874065763
1566	0.4124169024011136	26.29199581555163	0.868426630188645	0.0936780991140884	-181	29.210878	62.81443	36.87653037423259	0.055466725545192525	0.08369248445185053	0.05251798596382991
1359	0.3182423823644669	35.68658422666208	0.8182753932250081	0.094242503570117	-172	31.151548	65.24728	38.90227042909237	0.05853394202117899	0.08632305562257628	0.05830006153616945
3150	0.1980102775563563	46.26971301586135	0.912228024742485	0.0542672088139204	-295	47.065853	114.84647	60.60107943653911	0.24867047901419645	0.1341743329445158	0.09775779150185127
735	0.4223559450179525	23.50530885366998	0.8610044865691346	0.1195137716468758	-169	21.172216	50.27844	29.153982450647423	0.09199790065405661	0.0819279602146978	0.044059604608336134
2328	0.2119558787804343	42.17512962113965	0.8515216425023471	0.066011178788416	-229	42.684643	95.263725	53.37133620547946	0.3651094759290725	0.1293605043856674	0.12117845928629634
462	0.9282010387356392	14.375879328272282	0.9190665152364936	0.176410658609571	-142	13.776012	27.632576	18.503312763488253	0.0533333333333333	0.11932029879397733	0.0753643977412426
1863	0.1474885209273352	41.75649936894959	0.8799092868681675	0.0615111163067693	-256	44.25721	106.41226	55.42806844847976	0.03806594448774644	0.09964311292786135	0.07356906449270142
489	0.6633334958194984	17.170913527330526	0.8516791273711839	0.164596498487653	-130	16.434586	48.28195	21.400536389558543	0.0272479564032698	0.10629956237996921	0.05643481455903337
1158	0.3500407327495448	26.8591927656388	0.8813355653658395	0.0960225740321202	-184	35.751892	55.755207	35.44921439407284	0.230872483221477	0.10548956422965898	0.08617401694219931
684	0.9990219111746164	16.501402246541907	0.9270106120928658	0.1544445657097418	-199	18.90218	29.378738	20.953854170331667	0.0317460317460317	0.1547074831998207	0.13264799196338534
588	0.1560222406555683	34.55706745377889	0.7897852112643234	0.1021203417326602	-163	29.714798	78.63304	37.19632194196915	0.5920792079207926	0.3465041060359555	0.27020162723746555
915	0.1469390082551231	37.632448284240894	0.8759722105601773	0.0802629389680833	-229	33.87293	72.86517	42.66933434651451	0.5920792079207926	0.39860533977787727	0.2991264308850737
375	0.3351680027734037	24.8306680030192	0.8157361212154941	0.1469011359460692	-151	22.56649	47.277214	25.034931482152444	0.14318570271881165	0.15579331037386582	0.145055851736964
1239	0.6609793874477419	22.35297285509234	0.91302188256552	0.111206356969991	-169	21.742132	55.9134	29.546800130863986	0.12286900293492496	0.11179611514474139	0.03201171301913461
834	0.1640519228725335	33.130036177887675	0.8294623819535002	0.0881794575616319	-145	40.172123	82.37157	41.01636198398912	0.5920792079207926	0.3722354667565188	0.3517083204998624
540	0.7874552989556817	16.80369063755352	0.8844171313022146	0.1597238043495349	-145	16.650822	47.233253	21.237063351368786	0.15587363550928948	0.1356940535668459	0.08061199854237157
1869	0.0849329201405584	65.48200408025437	0.8418103833840641	0.0550914346111316	-244	48.047318	123.74919	64.68787646947112	0.0693387946167349	0.5345891662601249	0.4189466059054049
1458	0.2185306956122559	46.532565607651904	0.827963115255589	0.0796199658626964	-280	33.107346	96.829636	45.508055362128935	0.3651094759290725	0.20798631982792945	0.11853917206945994
990	0.3909162684898197	37.94263860164367	0.8219543592699499	0.1126143351873895	-211	24.590528	67.77541	32.41006292866755	0.12339450707732728	0.10777500677210262	0.12950724757222934
1269	0.3423677736216649	30.628379395445016	0.8668705614931597	0.0928708376361505	-208	24.45351	65.3271	37.26384264795932	0.05419652906538829	0.11322859639222514	0.12255190471339565
2415	0.1099478825472522	51.52512465218013	0.9381330375061964	0.0478863827067433	-289	62.026318	91.260506	66.7797505110154	0.12532637075718	0.11292498973293168	0.032635850359945706
936	0.4047767247670525	28.2650482245412	0.7781297241150339	0.1228323821930724	-196	21.496553	89.00785	31.387474631718245	0.479166666666667	0.14856206476224884	0.09212515396352863
1152	0.3306277888572006	30.74031799612328	0.7637559857724189	0.1106420491920405	-133	26.93823	92.558495	35.50147661441457	0.036676506762296925	0.08960593359292503	0.03222207399946136
2613	0.4772219403673201	36.137374187078215	0.9209858223412334	0.0771354413061581	-244	32.627586	68.477165	42.229344622950926	0.0391157295516894	0.05937623112136456	0.0587491202772546
822	0.3707328797758565	26.700577805792555	0.8894686812895204	0.1084280866820202	-166	25.876043	47.7896	31.10633175316413	0.0878378378378378	0.11804317938827275	0.11427432153697487
1473	0.3832196620289979	29.578250002936016	0.8864993751709983	0.0894466113772539	-214	27.277466	60.397713	37.83370982700211	0.05419652906538829	0.10592876203595579	0.13901732000163103
657	0.1164274030861478	40.49185941879255	0.7982222805220539	0.0918353914231123	-166	30.373842	101.09483	40.92487177716559	0.0742857142857143	0.44202383578827836	0.20366215162112147
285	0.3712733599861165	24.04322236361855	0.7181440041589188	0.1911316692206555	-133	13.362025	53.376324	21.85632113739936	0.16990292534167512	0.36074255011810247	0.29007475880126216
759	0.5721509686800528	21.49688877208538	0.8481377778582585	0.1347172042632952	-148	19.495245	50.930447	26.256194760495124	0.05056810451899227	0.08640816785626183	0.02959170278164669
1821	0.5776648036552148	35.67225180826516	0.8544916124312888	0.1008524957255553	-247	29.708166	64.322105	34.81182573013255	0.12339450707732728	0.06790426407163339	0.02063181197697356
681	0.1355147179421917	46.43803694845402	0.7360391352659515	0.1030719101591981	-241	29.453348	84.42996	39.54394775766024	0.5920792079207926	0.48159660534036486	0.5157468447325052
2124	0.1020271807547529	131.9448219155155	0.6380010580740031	0.0711940643366111	-292	35.467453	230.29095	66.04745217128173	0.0316957210776545	0.1909159324820692	0.09094099217997155
1569	0.2728754796631903	31.48368243242502	0.902916615118566	0.0779123794599107	-184	37.133766	59.8311	42.64490408114203	0.520775623268698	0.17993213158858257	0.1837397389074314
2643	0.1683279864291971	40.55045989917369	0.8859099536862222	0.056487685496621	-181	44.142696	94.26237	59.94844093314406	0.3651094759290725	0.21508606424538484	0.16748229866782646
528	0.1246007641953389	36.60331402530086	0.8459449710392742	0.0935101654340592	-160	26.533285	62.484375	37.92453953091695	0.5920792079207926	0.4610918299537075	0.2677246756936134
1263	0.1050168022520083	46.88983733860575	0.9139806314057004	0.0607697892829254	-274	45.06519	76.30159	54.01278013536634	0.2117202268431	0.2862734689426172	0.34022490814780293
1155	0.4515116795636663	24.17480964457836	0.8671973814983405	0.1063779510502713	-172	22.481937	56.26056	32.52008527730573	0.09199790065405661	0.10053692269082143	0.09960856870259674
