	density	radius_of_gyration	surface_area_to_volume_ratio	sphericity	euler_characteristic	inradius	circumradius	hydrodynamic_radius	sequence_length	avg_plddt	hull_presence	hull_presence_tryps_0010min	hull_presence_tryps_0015min	hull_presence_tryps_0020min	hull_presence_tryps_0030min	hull_presence_tryps_0040min	hull_presence_tryps_0050min	hull_presence_tryps_0060min	hull_presence_tryps_0120min	hull_presence_tryps_0180min	hull_presence_tryps_0240min	hull_presence_tryps_1440min	hull_presence_tryps_leftover	predicted_disorder_content	betti_0	betti_1	lys_arg_layer_1	lys_arg_layer_2	lys_arg_layer_3	lys_arg_layer_4	lys_arg_layer_5	lys_arg_layer_6	lys_arg_layer_7	lys_arg_layer_8	lys_arg_layer_9	lys_arg_layer_10
hull_presence_tryps_0240min	0.133	-0.080	0.098	-0.133		-0.151	-0.098	-0.151	-0.062	0.169	0.268	-0.148	-0.136	-0.080	-0.103	-0.080	0.265	-0.054	0.353	0.346	1.000	0.322	0.266	-0.240	-0.062	-0.027	-0.160	0.152	0.117	-0.073	0.118	-0.100	0.139	-0.205	0.196	-0.148
hull_presence_tryps_1440min	0.385	-0.331	0.128	0.058		-0.207	-0.158	-0.189	0.058	0.329	-0.033	-0.017	0.222	0.057	-0.212	0.212	0.396	0.155	0.401	-0.047	0.322	1.000	0.300	-0.377	0.058	0.147	-0.009	0.222	0.071	0.150	0.083	0.086	-0.229	-0.211	0.033	-0.223
hull_presence_tryps_leftover	0.194	-0.102	0.178	-0.193		-0.145	-0.120	-0.175	-0.075	0.074	0.172	0.104	0.082	0.018	0.001	0.156	-0.100	0.116	0.108	-0.188	0.266	0.300	1.000	-0.253	-0.075	-0.004	-0.161	-0.072	0.012	-0.043	-0.333	0.034	-0.297	-0.127	-0.001	-0.157
predicted_disorder_content	-0.514	0.546	-0.491	0.230		0.481	0.346	0.570	0.399	-0.368	-0.212	-0.076	0.053	0.134	0.177	-0.016	0.062	0.164	-0.259	-0.029	-0.240	-0.377	-0.253	1.000	0.399	0.205	0.409	0.117	0.067	0.222	0.103	0.306	0.274	0.072	0.126	0.289
betti_0	-0.246	0.323	-0.867	0.479		0.769	0.415	0.818	1.000	-0.408	-0.517	-0.252	-0.200	0.210	0.096	-0.156	0.094	0.344	-0.237	-0.059	-0.062	0.058	-0.075	0.399	1.000	0.885	0.954	0.558	0.514	0.595	0.364	0.454	0.281	0.127	0.275	0.024
betti_1	0.159	-0.075	-0.609	0.498		0.490	0.091	0.509	0.885	-0.078	-0.551	-0.255	-0.241	0.179	0.037	-0.028	0.087	0.433	-0.189	-0.098	-0.027	0.147	-0.004	0.205	0.885	1.000	0.801	0.496	0.459	0.489	0.183	0.335	0.281	0.071	0.047	0.043
lys_arg_layer_1	-0.364	0.368	-0.926	0.522		0.848	0.444	0.870	0.954	-0.511	-0.572	-0.183	-0.215	0.225	0.064	-0.161	0.129	0.275	-0.266	-0.084	-0.160	-0.009	-0.161	0.409	0.954	0.801	1.000	0.495	0.403	0.522	0.391	0.495	0.304	0.146	0.310	0.022
lys_arg_layer_2	-0.075	0.270	-0.431	0.157		0.399	0.395	0.430	0.558	-0.163	-0.098	-0.199	-0.140	0.187	0.213	-0.054	0.384	0.325	0.087	-0.145	0.152	0.222	-0.072	0.117	0.558	0.496	0.495	1.000	0.591	0.707	0.593	0.630	0.238	0.249	0.486	0.066
lys_arg_layer_3	0.034	0.180	-0.317	0.126		0.183	0.283	0.328	0.514	-0.031	0.054	-0.281	0.016	0.051	-0.066	-0.199	0.152	0.235	-0.120	-0.211	0.117	0.071	0.012	0.067	0.514	0.459	0.403	0.591	1.000	0.703	0.293	0.168	0.266	0.272	0.280	-0.031
lys_arg_layer_4	-0.070	0.223	-0.436	0.259		0.361	0.247	0.432	0.595	-0.204	-0.251	-0.109	0.055	-0.009	0.220	-0.042	0.198	0.396	-0.026	-0.348	-0.073	0.150	-0.043	0.222	0.595	0.489	0.522	0.707	0.703	1.000	0.387	0.501	0.276	0.291	0.411	0.135
lys_arg_layer_5	-0.254	0.365	-0.370	0.239		0.380	0.283	0.382	0.364	-0.380	-0.152	-0.104	-0.087	0.214	0.224	-0.106	0.405	0.146	0.150	0.037	0.118	0.083	-0.333	0.103	0.364	0.183	0.391	0.593	0.293	0.387	1.000	0.408	0.307	0.331	0.518	0.089
lys_arg_layer_6	-0.310	0.373	-0.499	0.223		0.559	0.394	0.500	0.454	-0.324	-0.209	-0.002	-0.260	0.296	0.345	0.078	0.218	0.184	0.089	-0.049	-0.100	0.086	0.034	0.306	0.454	0.335	0.495	0.630	0.168	0.501	0.408	1.000	0.227	0.264	0.343	0.070
lys_arg_layer_7	-0.043	0.136	-0.234	0.407		0.244	-0.029	0.202	0.281	-0.108	-0.308	-0.182	-0.135	0.230	0.187	-0.199	0.143	-0.039	-0.233	0.175	0.139	-0.229	-0.297	0.274	0.281	0.281	0.304	0.238	0.266	0.276	0.307	0.227	1.000	0.409	0.144	0.121
lys_arg_layer_8	-0.162	0.160	-0.148	0.379		0.195	-0.005	0.156	0.127	-0.102	-0.073	-0.116	-0.022	-0.079	-0.032	-0.191	0.112	-0.233	-0.074	-0.232	-0.205	-0.211	-0.127	0.072	0.127	0.071	0.146	0.249	0.272	0.291	0.331	0.264	0.409	1.000	0.258	0.240
lys_arg_layer_9	-0.321	0.363	-0.352	0.199		0.390	0.336	0.358	0.275	-0.336	0.042	-0.088	-0.158	-0.059	0.172	-0.004	0.073	0.128	0.046	-0.070	0.196	0.033	-0.001	0.126	0.275	0.047	0.310	0.486	0.280	0.411	0.518	0.343	0.144	0.258	1.000	0.103
lys_arg_layer_10	-0.058	0.060	0.033	0.008		-0.027	0.032	-0.012	0.024	-0.003	-0.151	-0.186	-0.089	-0.391	0.041	-0.071	0.001	-0.041	-0.285	-0.316	-0.148	-0.223	-0.157	0.289	0.024	0.043	0.022	0.066	-0.031	0.135	0.089	0.070	0.121	0.240	0.103	1.000
